Environment,Emissions,Resource Use,Innovation,Social,Human Rights,Product Responsibility,Workforce,Community,Governance,Management,Shareholders,CSR Strategy,industry_rank,descr,main_score
58,59,76,34,70,51,71,71,89,34,27,52,44,33/120,"Walsin Technology Corp is a Electronic Equipment & Parts company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",55
58,59,76,34,70,51,71,71,89,34,27,52,44,33/120,"Gallaher Group Ltd is a Electronic Equipment & Parts company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",55
77,91,99,53,77,75,34,98,100,53,46,49,94,74/831,"Salesforce.Com Inc is a Software & IT Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",66
59,91,81,40,74,41,95,98,87,63,71,42,55,20/110,"Nikon Corp is a Computers Phones & Household Electronics company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",67
38,31,39,50,57,33,39,100,31,67,70,70,47,49/115,"Wizz Air Holdings PLC is a Passenger Transportation Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",54
7,0,19,0,32,33,29,9,68,39,34,77,5,319/404,"Rossi Residencial SA is a Real Estate Operations company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",26
7,0,19,0,32,33,29,9,68,39,34,77,5,319/404,"Fisher & Paykel Appliances Holdings Ltd is a Real Estate Operations company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",26
66,70,76,0,38,9,52,61,31,24,10,31,79,216/378,"Want Want China Holdings Ltd is a Food & Tobacco company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",43
61,91,77,50,84,79,99,85,74,73,85,26,79,69/1002,"Banco Comercial Portugues SA is a Banking Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",76
74,78,83,0,76,83,75,67,79,20,8,67,13,84/327,"PARKSON Retail Group Ltd is a Hotels & Entertainment Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",59
25,29,47,0,17,0,0,38,23,32,41,20,6,31/35,"Hithink RoyalFlush Information Network Co Ltd is a Financial Technology (Fintech) & Infrastructure company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",25
0,0,0,0,25,0,0,36,47,38,46,37,0,404/545,"Graybug Vision Inc is a Biotechnology & Medical Research company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",24
0,0,0,0,16,0,15,30,23,23,17,59,0,307/332,"Adapthealth Corp is a Healthcare Equipment & Supplies company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",16
91,92,94,64,94,93,98,95,89,77,82,54,85,4/378,"Japan Tobacco Inc is a Food & Tobacco company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",89
16,39,0,0,47,0,36,38,67,68,86,50,0,2/14,"Universal Technical Institute Inc is a Professional & Business Education company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",47
36,65,46,13,61,76,45,49,65,44,36,61,54,117/233,"Eicher Motors Ltd is a Automobiles & Auto Parts company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",48
36,65,46,13,61,76,45,49,65,44,36,61,54,117/233,"VCA Inc is a Automobiles & Auto Parts company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",48
0,0,0,0,35,3,51,13,42,32,39,27,0,98/124,"EMCORE Corp is a Communications & Networking company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",26
0,0,0,0,35,3,51,13,42,32,39,27,0,98/124,"Brookfield Office Properties Inc is a Communications & Networking company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",26
74,78,83,0,76,83,75,67,79,20,8,67,13,84/327,"Genting Malaysia Bhd is a Hotels & Entertainment Services company. Below is the rank of this company out of all the companies in its industry. Get the most comprehensive, detailed, and up to date sector and industry classification available with the Refinitiv Business Classification here",59
