,company
618,MongoDB Inc
619,Anhui Conch Cement Co Ltd
620,Zip Co Ltd
621,Air France KLM SA
622,Archer-Daniels-Midland Co
623,Pangaea Logistics Solutions Ltd
624,SQZ Biotechnologies Co
625,Ferrexpo PLC
626,FCB Financial Holdings Inc
627,Thermax Limited
628,Nasdaq Aktiebolag
629,Arjo AB (publ)
630,Gerry Weber International AG
631,Marcus & Millichap Inc
632,Allied Waste Industries LLC
633,PharMerica Corp
634,RioCan Real Estate Investment Trust
635,En+ Group MKPAO
636,Banco Bilbao Vizcaya Argentaria Colombia SA
637,Unifi Inc
638,Qatar Insurance Company QSPC
639,Duratex SA
640,Logitech International SA
641,Fisher & Paykel Healthcare Corporation Ltd
642,Cheetah Mobile Inc
643,Bluerock Residential Growth REIT Inc
644,PlayAGS Inc
645,JSR Corp
646,China Northern Rare Earth Group High-Tech Co Ltd
647,SunCoke Energy Inc
648,Daiwa House Industry Co Ltd
649,Transneft' PAO
650,Wabash National Corp
651,Orange Egypt for Telecommunications SAE
652,Banmedica SA
653,Realtek Semiconductor Corp
654,Vectura Group PLC
655,Raysut Cement Company SAOG
656,Denka Co Ltd
657,Credito Real SAB de CV SOFOM ENR
658,Newcrest Mining Ltd
659,Newriver Reit PLC
660,Sino-Forest Corp
661,Knight-Swift Transportation Holdings Inc
662,CSL Ltd
663,Summarecon Agung Tbk PT
664,Glaukos Corp
665,Seaboard Corp
666,Huaan Securities Co Ltd
667,Adecco Group AG
668,Home Depot Inc
669,Alfa Financial Software Holdings PLC
670,MSA Safety Inc
671,Ribbon Communications Inc
672,Universal Robina Corp
673,RingCentral Inc
674,Konami Holdings Corp
675,Mulberry Group PLC
676,Witan Investment Trust PLC
677,YPF SA
678,MegaFon PAO
679,Equatorial Energia SA
680,Altri SGPS SA
681,R1 RCM Inc
682,Credit Corp Group Ltd
683,CMB Wing Lung Bank Ltd
684,Flushing Financial Corp
685,USG Corp
686,Prelude Therapeutics Inc
687,PostNL NV
688,Landmark Mortgages Ltd
689,Kirin Holdings Co Ltd
690,Pinduoduo Inc
691,CCR SA
692,Sandvik AB
693,Qiagen NV
694,Dampskibsselskabet Norden A/S
695,China Dili Group
696,Silk Road Medical Inc
697,Biotage AB
698,TIAA FSB Holdings Inc
699,LG Household & Healthcare Ltd
700,Palabora Mining Co
701,Medpace Holdings Inc
702,Sanken Electric Co Ltd
703,Exxon Mobil Corp
704,Gindalbie Metals Ltd
705,Al Khaleej Takaful Insurance Company QPSC
706,Koza Anadolu Metal Madencilik Isletmeleri AS
707,WestRock RKT LLC
708,TKH Group NV
709,Super Group Ltd
710,Luxi Chemical Group Co Ltd
711,Yum! Brands Inc
712,Fideuram Intesa Sanpaolo Private Banking SpA
713,Professional Holding Corp
714,Oakton Ltd
715,Six Flags Entertainment Corp
716,Korean Reinsurance Co
717,Blue Bird Corp
718,Kinaxis Inc
719,Bioatla Inc
720,Migros Ticaret AS
721,OK Rusal MKPAO
722,PAE Inc
723,Turkiye Sise ve Cam Fabrikalari AS
724,China Water Affairs Group Ltd
725,Iluka Resources Ltd
726,KeyCorp
727,Anglo American PLC
728,Aveo Group
729,CNOOC Energy Technology & Services Ltd
730,Mitsubishi Heavy Industries Ltd
731,Rpc Group Ltd
732,Yit Oyj
733,Interface Inc
734,Goosehead Insurance Inc
735,Grupa Lotos SA
736,Yext Inc
737,Pitney Bowes Inc
738,Britannia Industries Ltd
739,Duro Felguera SA
740,Orange Polska SA
741,Eneva SA
742,Monadelphous Group Ltd
743,Seibu Holdings Inc
744,Hanssem Co Ltd
745,Arcos Dorados Holdings Inc
746,Ferroglobe PLC
747,Fibria Celulose SA
748,Eclipx Group Ltd
749,Metso Outotec Corp
750,Origin Energy Ltd
751,Texas Roadhouse Inc
752,Wingtech Technology Co Ltd
753,Byline Bancorp Inc
754,Akastor ASA
755,Great Lakes Dredge & Dock Corp
756,Flight Centre Travel Group Ltd
757,Cooper Companies Inc
758,Visionox Technology Inc
759,Veeco Instruments Inc
760,Shanxi LuAn Environmental Energy Dev Co Ltd
